id,prompt,variables,created_at,updated_at,account_id,suggestion_label,subcategory_id
065915e8-108f-4850-8543-436d3c319902,"Farmhouse kitchen with rustic charm, warm aesthetic, no text",,2025-10-13 05:01:58.301744+00,2026-03-30 16:50:05.965655+00,,,
067bc42a-aa07-4ce0-abfa-f5af5cf3cf15,"Luxury bedroom with premium bedding, elegant presentation, no text",,2025-10-13 05:01:59.298689+00,2026-03-30 16:50:05.965655+00,,,
07f54777-180b-4309-b94e-808411ef6f5d,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Privacy Planting. Option: tall column evergreen privacy screen with a structured look.",,2026-03-23 16:44:10.114378+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
089c6dde-11f3-4a67-b389-d9bed00b9a38,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Shower Tile. Option: terrazzo shower tile with playful upscale texture.",,2026-03-23 18:53:06.206857+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
08de1499-05f0-4eb5-ad4c-f2ae031a723a,"Luxury outdoor living space with sophisticated seating, elegant presentation, no text",,2025-10-13 05:02:02.20628+00,2026-03-30 16:50:05.965655+00,,,
09691a70-eaf0-466a-91b3-602b62e45a27,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Privacy Planting. Option: naturalistic privacy planting with mixed trees, shrubs, and seasonal softness.",,2026-03-23 16:44:15.577862+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
09eca9d2-2c5f-4042-becf-200dbf17ecf1,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.: What style of garden design are you looking for?. Option: A beachy garden with a coastal chic design, featuring a driftwood fence, a few palm trees, and a nautical-themed bench. Direction details: A light and airy garden design that captures the carefree spirit of the coast Price tier cues: Mid-range quality, quartz or laminate surfaces, semi-custom details.",,2026-03-20 21:00:22.525269+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
0ab72418-0743-47b3-90d5-7d47786cc80a,"Luxury salon with sophisticated decor, clean aesthetic, no text",,2025-10-13 05:02:39.903146+00,2026-03-30 16:50:05.965655+00,,,
0b2ec9ec-9cfd-4179-833b-8d500f14ed16,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. General Landscaping Services is a comprehensive solution for residential and commercial properties, including homes, apartments, offices, hotels, restaurants, and shopping centers. It typically involves the design and maintenance of outdoor spaces such as lawns, gardens, patios, walkways, and other hardscapes. The service may also encompass tasks like pruning, weeding, fertilizing, and pest control to ensure the overall health and appearance of the property. The goal of General Landscaping Services is to create a visually appealing and functional outdoor environment that enhances the property's value and aesthetic appeal.: What style of landscaping are you looking for?. Option: A roof garden with a small lawn, plenty of plants, and a railing. Direction details: A unique and charming design that incorporates elements of the roof and plenty of greenery Price tier cues: Premium materials, natural stone, custom cabinetry, high-end fixtures.",,2026-03-17 19:13:18.41956+00,2026-03-30 16:50:05.965655+00,,,
0ce0a4be-86c6-4bb9-a682-75c0bd13686b,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. General Landscaping Services is a comprehensive solution for residential and commercial properties, including homes, apartments, offices, hotels, restaurants, and shopping centers. It typically involves the design and maintenance of outdoor spaces such as lawns, gardens, patios, walkways, and other hardscapes. The service may also encompass tasks like pruning, weeding, fertilizing, and pest control to ensure the overall health and appearance of the property. The goal of General Landscaping Services is to create a visually appealing and functional outdoor environment that enhances the property's value and aesthetic appeal.: What style of landscaping are you looking for?. Option: A Japanese garden with a small lawn, plenty of plants, and a stone patio. Direction details: A serene and natural design that incorporates elements of Japanese culture and plenty of greenery Price tier cues: Premium materials, natural stone, custom cabinetry, high-end fixtures.",,2026-03-17 19:13:09.577805+00,2026-03-30 16:50:05.965655+00,,,
0ce9dba8-8ec0-4c57-aa53-7fe4b1248b53,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Outdoor Lighting. Option: modern bollard lights with architectural outdoor styling.",,2026-03-23 16:43:50.837604+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
0d0158e0-c7f9-4da5-a17b-905f4c8f007b,"Modern belt with sophisticated design, minimalist presentation, no text",,2025-10-13 05:01:54.913535+00,2026-03-30 16:50:05.965655+00,,,
0d938e4c-9a4e-4292-bb6b-93f4fae71df0,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Firepit. Option: round stone fire pit with classic gathering-circle appeal.",,2026-03-23 16:44:19.967206+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
0d93d454-c091-4e38-97fa-1202b8f426f8,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. General Landscaping Services is a comprehensive solution for residential and commercial properties, including homes, apartments, offices, hotels, restaurants, and shopping centers. It typically involves the design and maintenance of outdoor spaces such as lawns, gardens, patios, walkways, and other hardscapes. The service may also encompass tasks like pruning, weeding, fertilizing, and pest control to ensure the overall health and appearance of the property. The goal of General Landscaping Services is to create a visually appealing and functional outdoor environment that enhances the property's value and aesthetic appeal.: What style of landscaping are you looking for?. Option: A modern minimalist backyard with a small lawn, a few plants, and a sleek patio. Direction details: A clean and simple design that emphasizes negative space and minimal decoration Price tier cues: Mid-range quality, quartz or laminate surfaces, semi-custom details.",,2026-03-17 19:13:02.390217+00,2026-03-30 16:50:05.965655+00,,,
0dbca832-6b6b-4a79-968a-ba4180897a13,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Landscaping is a service where a provider transforms outdoor spaces such as residential yards, commercial properties, parks, hotels, and resorts. It typically includes a comprehensive plan for hardscapes like patios, walkways, and driveways, as well as softscapes like gardens, lawns, and trees. The provider will also consider factors such as drainage, irrigation, and lighting to create a functional and visually appealing outdoor environment. The goal of landscaping is to enhance the beauty and usability of the space, increasing its value and enjoyment for occupants.: What style of landscaping are you looking for?. Option: A modern outdoor patio with a fire pit, comfortable seating, and a small garden. Direction details: A sleek and contemporary outdoor space perfect for entertaining Price tier cues: Premium materials, natural stone, custom cabinetry, high-end fixtures.",,2026-03-17 19:12:24.614311+00,2026-03-30 16:50:05.965655+00,,,
0eb250f3-1ae2-45e8-85e5-ac0642425461,"Minimalist bedroom with sleek furniture, professional photography, no text",,2025-10-13 05:01:59.49663+00,2026-03-30 16:50:05.965655+00,,,
10252419-9164-4877-b7cd-8826d3b68032,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Countertops. Option: concrete-look countertops with modern architectural character.",,2026-03-23 18:53:29.621973+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
11aba673-fa3c-460f-b6fe-b603b9f52646,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.: What style of bathroom remodeling are you looking for?. Option: A charming bathroom with a vintage-style sink, a wooden vanity, and a large walk-in shower with a glass door and a cottage-style tile floor.. Direction details: A warm and inviting design that incorporates natural materials and rustic elements. Price tier cues: Mid-range quality, quartz or laminate surfaces, semi-custom details.",,2026-03-18 15:25:17.536836+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
11abaabd-efd0-4d73-8138-3b4aa288d9a3,"Modern wardrobe with contemporary design, clean background, no text",,2025-10-13 05:02:13.505651+00,2026-03-30 16:50:05.965655+00,,,
12032b0f-c3a0-4155-a076-27a41a863b47,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.: What style of garden design are you looking for?. Option: A serene garden with a courtyard oasis design, featuring a few potted plants, a natural stone fountain, and a wooden bench. Direction details: A peaceful and calming garden design that incorporates the unique features of a courtyard Price tier cues: Premium materials, natural stone, custom cabinetry, high-end fixtures.",,2026-03-20 21:00:46.034547+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
1214fe30-0adf-46ba-b7eb-0c54078b43ed,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Built-in Seating. Option: minimal floating concrete bench with sculptural outdoor styling.",,2026-03-23 16:45:07.096723+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
12250f38-72a2-4390-b179-e205b62f4af4,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Pergola / Shade. Option: modern louvered shade structure with adjustable slats.",,2026-03-23 16:44:37.985428+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
12839392-a625-4212-8d47-1233f1f8b22b,"Contemporary dresser with sleek design, clean aesthetic, no text",,2025-10-13 05:02:13.045164+00,2026-03-30 16:50:05.965655+00,,,
1388288d-f59d-4035-b7f8-0ebc75b0ca9a,"Contemporary salon with sleek furniture, professional photography, no text",,2025-10-13 05:02:06.236928+00,2026-03-30 16:50:05.965655+00,,,
138babf6-be09-4768-931a-6c52ba363242,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Bathroom remodeling is a service where a provider transforms residential bathrooms into functional and aesthetically pleasing spaces. It typically involves redesigning the layout, selecting fixtures and materials, and installing new elements such as sinks, toilets, showers, and bathtubs. The goal is to create a bathroom that meets the homeowner's needs and complements the overall style of the home. The outcome is a refreshed and rejuvenated bathroom that boosts the value and livability of the residence.. Refinement category: Flooring. Option: polished concrete flooring with a clean modern edge.",,2026-03-23 18:53:12.745376+00,2026-03-30 16:45:25.682176+00,,,258f4d7f-746f-416b-b617-e1cca25b748f
13c66e65-3f3b-482c-a3f1-18f80a55fe61,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.: What style of garden design inspires you?. Option: A cozy garden with a rustic cottage design, featuring a picket fence, a variety of colorful flowers, and a wooden arbor.. Direction details: A charming and inviting garden design that evokes a sense of warmth and comfort. Price tier cues: Premium materials, natural stone, custom cabinetry, high-end fixtures.",,2026-03-17 19:13:40.188262+00,2026-03-30 16:50:05.965655+00,,,
13f66e4d-b0d6-4c81-8499-1a17901d4852,"Professional hair coloring station with modern equipment, clean design, no text",,2025-10-13 05:02:40.652003+00,2026-03-30 16:50:05.965655+00,,,
1408fedc-be98-4eaf-832f-2a0a13448f37,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Landscaping is a service where a provider transforms outdoor spaces such as residential yards, commercial properties, parks, hotels, and resorts. It typically includes a comprehensive plan for hardscapes like patios, walkways, and driveways, as well as softscapes like gardens, lawns, and trees. The provider will also consider factors such as drainage, irrigation, and lighting to create a functional and visually appealing outdoor environment. The goal of landscaping is to enhance the beauty and usability of the space, increasing its value and enjoyment for occupants.: What style of landscaping are you looking for?. Option: A prairie landscape with a vast expanse of grasses and wildflowers, featuring a few scattered trees and a meandering pathway. Direction details: A unique and low-maintenance outdoor space with a focus on native plants and a naturalistic setting Price tier cues: Budget-friendly, builder-grade materials, economy finishes, standard fixtures.",,2026-03-20 21:02:35.911433+00,2026-03-30 16:45:25.682176+00,,,ee70f353-c48e-4bd9-bfc1-cf1b00291fa9
147b8854-a68e-4e75-a871-5fe217884bc8,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Landscaping is a service where a provider transforms outdoor spaces such as residential yards, commercial properties, parks, hotels, and resorts. It typically includes a comprehensive plan for hardscapes like patios, walkways, and driveways, as well as softscapes like gardens, lawns, and trees. The provider will also consider factors such as drainage, irrigation, and lighting to create a functional and visually appealing outdoor environment. The goal of landscaping is to enhance the beauty and usability of the space, increasing its value and enjoyment for occupants.: What style of landscaping are you looking for?. Option: A tropical-themed landscape with a small pool, a waterfall, and a variety of palm trees. Direction details: A lush and exotic outdoor space perfect for warm and humid climates Price tier cues: Luxury, bespoke finishes, marble, custom millwork, designer fixtures.",,2026-03-17 19:12:32.566555+00,2026-03-30 16:50:05.965655+00,,,
14ac8c4c-7331-4a63-a91f-dc3807545670,"Stylish storage solution with sophisticated appeal, minimalist presentation, no text",,2025-10-13 05:02:13.702174+00,2026-03-30 16:50:05.965655+00,,,
14ca277b-9824-47ea-bb6d-63b3f07cf946,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Landscaping is a service where a provider transforms outdoor spaces such as residential yards, commercial properties, parks, hotels, and resorts. It typically includes a comprehensive plan for hardscapes like patios, walkways, and driveways, as well as softscapes like gardens, lawns, and trees. The provider will also consider factors such as drainage, irrigation, and lighting to create a functional and visually appealing outdoor environment. The goal of landscaping is to enhance the beauty and usability of the space, increasing its value and enjoyment for occupants.: What style of landscaping are you looking for?. Option: A Mediterranean-themed landscape with a small patio, a variety of herbs, and a few olive trees. Direction details: A charming and elegant outdoor space inspired by the Mediterranean region Price tier cues: Luxury, bespoke finishes, marble, custom millwork, designer fixtures.",,2026-03-17 19:12:37.129354+00,2026-03-30 16:50:05.965655+00,,,
15ce42a7-b618-4ffb-bacb-62774a811ca4,"Professional hair coloring station with modern equipment, clean design, no text",,2025-10-13 05:02:07.351037+00,2026-03-30 16:50:05.965655+00,,,
1719e7ac-5b18-414b-a09b-e0df38c8b464,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.: What style of garden design inspires you?. Option: A garden featuring a variety of sustainable elements, such as rain barrels and compost bins, with a natural and eco-friendly design.. Direction details: A environmentally friendly garden design that emphasizes sustainability and reducing waste. Price tier cues: Budget-friendly, builder-grade materials, economy finishes, standard fixtures.",,2026-03-17 19:13:55.261041+00,2026-03-30 16:50:05.965655+00,,,
175627fc-af4e-49a9-91d8-a82e5cdb031d,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Pergola / Shade. Option: heavy timber pergola with rustic outdoor character.",,2026-03-23 16:44:39.983181+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
17ced0e1-5f30-4851-ba6b-04432052dae0,"Contemporary coffee table with sleek design, clean aesthetic, no text",,2025-10-13 05:02:44.296865+00,2026-03-30 16:50:05.965655+00,,,
17e6efb1-f056-4cc3-b906-8e395f92d305,"Photorealistic photo, no text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.: What style of garden design inspires you?. Option: A luxurious garden with a Tuscan villa design, featuring a large fountain, a variety of herbs and flowers, and a stone patio.. Direction details: A grand and elegant garden design that evokes the charm of the Italian countryside. Price tier cues: Luxury, bespoke finishes, marble, custom millwork, designer fixtures.",,2026-03-17 19:27:51.943646+00,2026-03-30 16:50:05.965655+00,,,
180773b3-cdf7-4da3-967d-6267ce49d65f,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.: What style of garden design are you looking for?. Option: A lush garden with a garden of Eden design, featuring a few exotic flowers, a natural stone fountain, and a wooden arbor. Direction details: A vibrant and exotic garden design that transports you to a paradise on earth Price tier cues: Luxury, bespoke finishes, marble, custom millwork, designer fixtures.",,2026-03-20 21:00:38.840382+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
181846c1-addd-4442-a2d6-3a6e6599c20a,"Contemporary color bar with sleek design, professional photography, no text",,2025-10-13 05:02:41.100327+00,2026-03-30 16:50:05.965655+00,,,
18452ab3-0cfe-40e7-964d-03acbc02ec3d,"Elegant armchair with classic styling, professional photography, no text",,2025-10-13 05:02:11.670806+00,2026-03-30 16:50:05.965655+00,,,
18966d87-1bcd-4a34-89bd-8ef3dab95fba,"Contemporary salon with trendy styling stations, professional photography, no text",,2025-10-13 05:02:42.836251+00,2026-03-30 16:50:05.965655+00,,,
19160f61-3502-4229-bc23-7939a55128e0,"Photorealistic photo of one finished scene, not a split-screen or before-and-after layout. No text, no words, no letters, no labels, no captions, no watermarks, no signs. Garden design is a service that creates a comprehensive outdoor space plan for residential or commercial properties such as homes, hotels, restaurants, and office campuses. It typically includes recommendations for plant selection, hardscaping, water features, lighting, and other design elements to enhance the aesthetic appeal and functionality of the outdoor space. The goal of garden design is to create a beautiful and inviting outdoor environment that complements the surrounding architecture and enhances the overall user experience.. Refinement category: Walkway. Option: herringbone paver walkway with refined detail.",,2026-03-23 16:44:31.569013+00,2026-03-30 16:45:25.682176+00,,,557fd1e8-c876-4c2a-9e01-525b7563c835
